Id;ASIN;Group;Salesrank;Reviews;avg rating;Title
4632;6302777275;Video;530;14;5.0;Richard Scarry's Best Busy People Video Ever!
4675;6304698518;DVD;466;49;4.5;Body Heat
4692;B00005OMH5;Music;4395;21;4.5;Pause
4711;B00005OMHN;Music;368;12;5.0;Chakra Suite
4743;B00005T30L;DVD;3273;303;4.0;Ghost World
4806;B000002O1P;Music;4220;22;4.5;Southern Accents
4808;B000002O1Q;Music;4303;34;4.5;Streets Of Fire: A Rock & Roll Fable (1984 Film)
4828;630196411X;Video;3081;6;3.5;As You Desire Me
4908;1585421952;Book;1485;10;4.0;New Drawing on the Right Side of the Brain Workbook:  Guided Practice in the Five Basic Skills of Drawing
4925;6305505802;DVD;4931;30;4.5;Deep Cover
4941;1572521732;Video;3523;6;4.0;Sam Kinison: Why Did We Laugh?
4946;B00005J79E;Music;2738;160;4.0;Machine
4951;0684859246;Book;1633;37;5.0;HARVEY PENICK'S LITTLE RED BOOK: LESSONS AND TEACHINGS FROM A LIFETIME OF GOLF
5089;0784001804;Video;2412;11;4.0;The Man in the Iron Mask
5092;0684846349;Book;672;70;3.5;Molecules Of Emotion: The Science Behind Mind-Body Medicine
5156;B00000ICNY;Music;2631;52;4.5;Donovan's Greatest Hits
5326;1567184855;Book;1053;177;4.5;Journey of Souls: Case Studies of Life Between Lives
5346;B000002P64;Music;3375;66;4.5;Share My World
5354;0060669357;Book;2315;47;4.5;The Nag Hammadi Library in English : Revised Edition
5357;0783226845;DVD;2391;82;4.5;Scent of a Woman
5359;B000002ASA;Music;2912;114;5.0;Maxwell's Urban Hang Suite
5374;0761127399;Music;2074;167;4.5;Definitely Maybe
5393;B000002P6G;Music;3560;406;4.5;Dude Ranch
5409;B00005U8R7;Video;3516;2;4.5;Scott Cole's Discover Tai Chi - AM & PM Workout - 2 Volume Gift Boxed Set
5466;0792841670;DVD;2727;31;4.5;Run Silent, Run Deep
5556;B000000D6Q;Music;3760;3;3.5;Tennessee Ernie Ford - Greatest Hits
5654;0767827929;DVD;3549;113;4.5;Godspell
5718;B000005RQV;Music;2090;36;5.0;Don't Bore Us Get to the Chorus : Roxette's Greatest Hits
5736;1579546579;Book;1284;17;4.5;Men's Health Home Workout Bible: A Do-It-Yourself Guide to Burning Fat and Building Muscle
5778;B00000634J;Music;989;137;4.5;Lennon Legend: The Very Best of John Lennon
5868;0451527925;Book;4280;18;5.0;Paradise Lost and Paradise Regained (The Signet Classic Poetry Series)
5899;B00005Q4AN;Music;3590;2;3.5;Old School Jams, Vol. 3
5909;B000001E7T;Music;2923;89;4.5;To Bring You My Love
5929;0792108868;Video;3486;44;5.0;The Shootist
5996;630523650X;DVD;3003;74;4.5;Dolores Claiborne
6017;B00005TT77;Music;1971;210;4.0;I Am Sam - Music from and Inspired by the Motion Picture
6098;6302843200;Video;4650;18;4.5;Island of Lost Souls
6130;0807220280;Book;2135;5539;4.5;Harry Potter and the Order of the Phoenix (Book 5, Audio)
6183;0316084603;Book;4077;22;4.0;Bartlett's Familiar Quotations: A Collection of Passages, Phrases, and Proverbs Traced to Their Sources in Ancient and Modern Literature (17th Edition)
6210;B000005TN5;Music;3831;88;4.5;Sueños Liquidos
6318;0735200300;Book;1981;257;4.0;How to Succeed With Women
6362;B00007D00L;DVD;1371;19;4.5;AM/PM Stretch for Health
6370;038550926X;Book;3319;631;3.0;The Devil Wears Prada : A Novel
6376;0385336330;Book;203;0;0.0;Miracle
6529;B000067G12;DVD;3945;13;3.5;Pure 80's: The DVD
6538;B00008OLX6;Music;439;51;4.5;Meet Me In Margaritaville: The Ultimate Collection
6616;0764552422;Book;4564;12;3.5;World History for Dummies
6624;6305180822;Video;4581;8;4.5;1998 Official World Series Video - New York Yankees vs. San Diego Padres
6709;0312421850;Book;4030;124;4.0;A Yellow Raft in Blue Water: A Novel
6747;B00004R99X;Video;3893;48;4.5;The Adventures of Ichabod and Mr. Toad
6750;B00004R99Z;Video;2748;55;4.5;The Sword in the Stone
6752;B00004R99P;Video;3409;81;4.5;Robin Hood (Disney)
6753;B00004R99Q;DVD;709;81;4.5;Robin Hood (Disney Gold Classic Collection)
6754;B00004R99S;DVD;2050;134;4.0;Hercules (Disney Gold Classic Collection)
6757;B00004R99V;Video;1595;105;3.0;The Black Cauldron
6760;B00004R99J;DVD;4359;144;3.5;Pocahontas (Disney Gold Classic Collection)
6761;B00004R99I;Video;3882;144;3.5;Pocahontas (Disney)
6762;B00004R99K;Video;3613;159;4.0;Alice in Wonderland (Disney)
6799;192973221X;Video;1830;34;4.0;The Devil's Arithmetic
6813;B00004R998;Video;1182;417;4.5;A Bug's Life
6815;B00004R999;DVD;3755;417;4.5;A Bug's Life (Disney Gold Classic Collection)
6821;B00004R993;DVD;2304;88;4.5;The Fox and the Hound (Disney Gold Classic Collection)
6867;B00004YZH0;Video;274;21;4.5;Shaping Up with Weights for Dummies
6870;B00004YZH1;Video;1827;119;4.5;Basic Yoga Workout for Dummies
6898;0807553190;Book;4797;14;4.5;My Body Is Private (Albert Whitman Prairie Books)
6907;B00000AEGS;Music;4267;12;5.0;Jerry Vale Sings the Great Italian Hits [Compilation]
7094;6301337999;Video;1927;30;4.0;The Cocoanuts
7105;6305565724;Video;3672;29;4.5;WWE Fully Loaded 1999
7152;6304393075;Video;130;43;4.5;Looking for Richard
7154;6302161444;Video;4763;5;4.0;Quick Callanetics: Stomach
7179;B0000844MN;Video;3406;10;4.5;Best of the Muppet Show - Harry Belafonte / Linda Ronstadt / John Denver
7342;B00005B3Z5;Video;4792;67;4.5;Queer as Folk (British TV Series)
7524;B00000JWVS;DVD;88;58;4.5;Jerry Seinfeld Live on Broadway: I'm Telling You for the Last Time
7629;B00006OFTZ;Music;766;382;4.5;More Than You Think You Are
7634;1578260868;Book;1037;86;4.0;The Body Sculpting Bible for Women
7646;B000062XKR;Video;1089;1;5.0;Blue's Clues - Reading with Blue
7651;B000062XKN;Video;261;2;5.0;Little Bear - Campfire Tales
7688;B000002GKT;Music;3753;35;5.0;Performance: Rockin' the Fillmore
7689;B00006BS7Q;DVD;3947;15;4.5;Leslie Sansone - Walk the Walk 3-DVD Set (Miracle Mile / Two Mile Walk / Weight Loss Walk 4 Miles)
7702;B000002GK1;Music;3925;110;4.5;Badmotorfinger
7705;B00006BS70;DVD;1671;42;5.0;In Memoriam - New York City, 9/11/01
7786;B000069AT7;DVD;4925;323;4.5;E.T. - The Extra-Terrestrial (Ultimate Gift Boxed Set)
7805;6301627016;Video;653;65;5.0;Let It Ride
7819;B00005O4WB;Video;3297;13;4.5;Engelbert Humperdinck - Live at the London Palladium
8166;0060974176;Book;2316;14;4.0;The Machine That Changed the World : The Story of Lean Production
8184;1893007170;Book;2032;30;4.5;Alcoholics Anonymous - Big Book 4th Edition
8205;6301969782;Video;1284;134;4.0;Night of the Living Dead
8216;006092988X;Book;2287;450;4.5;A Tree Grows in Brooklyn
8254;B00005YUO1;DVD;3557;58;4.5;Conspiracy
8272;B00000424Y;Music;4003;3;4.5;Pavarotti's Opera Made Easy-My Favourite Opera For Children
8300;0783217528;Video;4913;16;5.0;The Killers
8353;0689717385;Book;4426;23;5.0;The Relatives Came
8422;6304425880;Video;4022;3;5.0;Water Dog
8504;0972393617;Book;4468;107;4.0;Ultimate Unofficial Guide to the Mysteries of Harry Potter
8533;0380815583;Book;4997;104;4.5;Offer From a Gentleman, An
8547;0441010512;Book;2986;106;4.5;Club Dead (Southern Vampire Mysteries)
8593;B00004TH6P;Music;1942;86;4.5;Rascal Flatts
8595;B00004TH6O;Music;3721;94;4.0;Queens of the Stone Age - Rated R
8598;B00004TH6I;Music;2039;285;4.0;Country Grammar
8607;B00004TH66;Music;3568;21;4.5;Rides Again
8642;B00006JIBS;Music;881;40;4.5;Our Little Corner of the World: Music From Gilmore Girls
8652;6305191883;DVD;3287;116;4.0;Henry: Portrait of a Serial Killer
8703;B00001SIEW;Music;4320;170;5.0;Lost and Gone Forever
8705;B00001SIES;Music;725;140;4.5;Showbiz
8719;B00005KA70;DVD;4826;41;5.0;Ultraviolet
8748;093040758X;Video;3053;0;0.0;RUMI: THE WINGS OF LOVE
8896;B000002N25;Music;4474;63;4.5;Golden Heart
8931;B000002N2P;Music;3292;178;4.5;Insomniac
8975;0375705244;Book;369;303;4.0;Founding Brothers: The Revolutionary Generation
9099;B00008G9JO;Music;3073;53;4.0;Heavy Horses [Bonus Tracks]
9101;B00008G9JM;Music;4195;73;4.5;A Passion Play [Bonus Tracks]
9179;1568322259;Video;3589;3;4.5;The Magic School Bus Gets Lost in Space
9182;6305511055;DVD;524;49;4.5;Three Days of the Condor
9276;B000060MVK;DVD;1404;70;4.5;The Adventures of Sherlock Holmes (Boxed Set Collection)
9363;0743214285;Book;2263;30;4.0;Why Is It Always About You? : Saving Yourself from the Narcissists in Your Life
9390;B000000OAN;Music;2589;146;5.0;A Night at the Opera [Bonus Tracks]
9404;6301977963;Video;1960;29;4.5;Where the Boys Are
9427;1573300403;DVD;1712;58;4.5;Michael Jackson: HIStory On Film, Volume II
9440;B000000OA8;Music;3349;76;4.5;A Day At The Races [+2 Remixed]
9528;0375822666;Book;1473;2;5.0;Magic Tree House Boxed Set Vol. 2 (5-8)
9587;6305291470;DVD;3842;38;4.0;Mighty Aphrodite
9601;B00001OH77;Music;2920;18;4.0;Falco - Greatest Hits
9619;B00001OH7P;Music;710;139;4.5;The Rise And Fall Of Ziggy Stardust (EMI) [ENHANCED CD]
9635;B00001OH7O;Music;897;66;4.5;Hunky Dory
9717;0553371320;Book;2674;25;4.5;The Spirituality of Imperfection: Storytelling and the Search for Meaning
9726;0911910131;Book;4237;8;4.0;Merck Index: An Encyclopedia of Chemicals, Drugs, & Biologicals
9761;B00003CXFU;Video;4803;275;4.0;Erin Brockovich
9840;B0000046PU;Music;4867;7;5.0;Night Lights
9852;6305428115;DVD;2206;187;4.0;Enemy of the State
9997;0028643771;Book;1057;15;4.5;The Complete Idiot's Guide to Music Theory
10025;0393057658;Book;4371;252;4.5;Moneyball: The Art of Winning an Unfair Game
10176;0783240562;Video;4834;23;4.5;The Time of Their Lives
10184;B000001EZ4;Music;2341;27;4.5;Very Best of Rainbow
10294;6304185901;Video;3994;6;4.5;7 Signs of Christ's Return
10489;0440404959;Book;1396;12;4.0;How Big Is a Foot?
10492;0684848066;Book;3096;119;4.0;In the Meantime : Finding Yourself and the Love You Want
10582;B000059S9D;Music;1306;5;4.5;Lightbulb Sun [Special Edition]
10584;B00005BCOU;Video;3723;1;3.0;The Magic School Bus - Makes a Rainbow
10602;B000002UR7;Music;1775;170;4.0;Pablo Honey
10621;B000002URU;Music;4588;44;5.0;Bellybutton
10624;B000002URV;Music;1353;126;4.5;MCMXC A.D.
10654;6303939015;Video;4469;73;4.5;The Land Before Time
10758;B000067D0Y;DVD;3692;36;4.0;The Laramie Project
10764;019528478X;Book;2964;39;4.0;The New Oxford Annotated Bible, New Revised Standard Version with the Apocrypha, Third Edition (Hardcover 9700A)
10911;B000089QAP;DVD;1237;27;4.5;Quick Fix - Stability Ball Workout
10914;0790719029;Video;1676;35;4.0;Free Willy
10954;B00004SBUI;Music;3909;121;4.5;My Name Is Joe
11083;1840003324;Book;2000;30;4.5;The World Atlas of Wine
11155;6304602871;DVD;3939;33;4.0;Assassins
11237;6301805046;Video;2460;10;4.5;Hail the Conquering Hero
11317;B000002GNQ;Music;2059;22;3.5;Wavelength
11485;6303833500;Video;2871;11;4.0;Bonnie Raitt: Road Tested
11524;6305121702;Video;4876;18;4.5;Navy Seal Workout
11580;1574925911;Video;4923;15;3.5;Dead Man's Walk
11597;1558803602;Video;2318;49;4.5;Always (Widescreen Edition)
11638;1579546463;Book;38;586;4.0;The South Beach Diet: The Delicious, Doctor-Designed, Foolproof Plan for Fast and Healthy Weight Loss
11791;B00004STCU;Video;874;20;4.5;If It's Tuesday, This Must Be Belgium
11841;6300269485;Video;905;17;4.5;The Heart Is a Lonely Hunter
11850;0060652969;Book;1719;48;4.5;The Problem of Pain
11857;B00001U03Q;Music;3903;94;4.0;The Clapton Chronicles
11893;6305507953;Video;2116;21;4.0;Trinity Is Still My Name
12074;0609608444;Book;1351;369;4.0;The Devil in the White City:  Murder, Magic, and Madness at the Fair That Changed America
12088;6305942285;Video;370;45;4.0;The Tigger Movie
12149;6302816467;Video;3803;12;4.5;Kung Fu
12205;0790734850;DVD;1865;266;4.5;L.A. Confidential
12230;B00004SZDO;Music;4152;33;4.5;In the Garden of Souls
12262;6303046495;Video;4476;9;2.5;The Leech Woman
12340;B00005TPL8;DVD;4520;12;5.0;The Unanswered Question - Six Talks at Harvard by Leonard Bernstein
12350;6305337373;DVD;4407;0;0.0;Lolida 2000
12384;0965378780;Video;4730;3;5.0;Getting Thru to Your Emotions with EFT: The Emotional Freedom Techniques
12389;0792839749;DVD;384;125;3.5;Chitty Chitty Bang Bang (Full Screen Edition)
12414;0893860220;Book;3593;0;0.0;I Am That: Talks with Sri Nisargadatta
12441;0783240694;Video;796;225;5.0;October Sky
12628;B000063K1U;DVD;2592;47;4.5;She Wore a Yellow Ribbon
12631;B000063K1Q;DVD;3010;27;4.0;The Image
12632;B000063K1S;DVD;1751;21;3.0;Scooby-Doo and the Ghoul School
12645;B000063K17;DVD;2828;185;4.5;Transformers - First Season Collector's Edition
12695;B000000WA4;Music;855;537;4.5;Mellon Collie and the Infinite Sadness
12697;0380600129;Book;4085;87;4.0;The Indian in the Cupboard
12848;0792299922;DVD;4635;9;5.0;National Geographic - Secrets of the Titanic
12850;0790739291;DVD;1788;76;4.5;Without Limits
12902;B00006F852;Music;3161;68;4.5;Björk - Greatest Hits
12916;0688153879;Book;1628;53;3.5;Kevin Trudeau's Mega Memory : How to Release Your Superpower Memory in 30 Minutes Or Less a Day
12985;B00007FCTQ;DVD;4615;188;4.0;The Wiggles - Yummy Yummy
12996;0792839234;Video;4631;146;4.5;Phantasm
13008;B00005QW9W;Video;2579;208;3.0;The Mists of Avalon
13039;1576737160;Book;3042;85;4.5;The Ragamuffin Gospel
13166;B00002E24F;Video;2069;27;4.5;The Hunley
13233;B000069KE0;Music;3818;38;4.0;Chicago II (Repackaged)
13255;0767824555;DVD;3300;34;4.5;Hard Times
13260;B000002TIR;Music;2004;16;4.5;French Kiss
13263;6302678536;Video;3969;13;4.0;Sondheim - A Celebration at Carnegie Hall
13276;6303095151;Video;3827;8;5.0;The Broken Chain
13323;0679734775;Book;489;485;3.5;The House on Mango Street (Vintage Contemporaries)
13398;B00006696R;Music;2115;408;4.0;Busted Stuff
13570;B0000026T0;Music;1057;35;5.0;The All-Time Greatest Hits of Roy Orbison
13590;B000002H4S;Music;2170;57;4.5;In My Tribe
13592;0790746999;DVD;1394;42;4.5;Key Largo
13602;B000002H4B;Music;4677;17;4.5;Urban Cowboy: Original Motion Picture Soundtrack
13604;B000002H4C;Music;3805;28;4.5;Heavy Metal: Music From The Motion Picture
13622;B0000039PW;Music;2798;269;4.5;Ready to Die
13644;B0000026TE;Music;2070;122;4.5;Mariah Carey
13647;B0000639JF;Video;2738;1;4.0;An Enemy of the People (Broadway Theatre Archive)
13683;0140281916;Book;2877;16;5.0;Bargaining for Advantage : Negotiation Strategies for Reasonable People
13734;B0000024JN;Music;597;179;4.5;Licensed to Ill
13776;B0000667O1;Music;4189;11;4.5;Krishna Lila
13806;B0000667OG;Music;4238;25;4.0;Pure Moods IV
13817;0142000280;Book;148;138;4.5;Getting Things Done: The Art of Stress-Free Productivity
13822;B00005Y7W0;Music;4871;0;0.0;Non Stop Ballroom Dance Party
13828;B00004Z4RO;DVD;2528;83;3.5;Boys and Girls
13882;B00005JL1V;DVD;3241;61;4.0;Heartbreak Ridge
13906;B00004S51Y;Music;412;86;4.5;The Very Best of Cat Stevens
13911;B00004S51H;Music;918;182;4.5;Like Water For Chocolate
13935;6300273199;Video;599;31;4.5;AC/DC - Let There Be Rock
13972;6303102492;Video;3930;12;3.5;Pinky
14012;B000002BSG;Music;1487;116;4.5;Travelling Without Moving
14111;0679723951;Book;4818;38;4.5;Memories, Dreams, Reflections (Vintage)
14249;0792844629;Video;3810;10;3.5;The Importance of Being Earnest
14301;1887923063;Book;1438;5;4.0;Summer Bridge Activities: 3rd Grade to 4th Grade (Summer Bridge Activities)
14383;1560449535;DVD;4761;28;4.5;The Mechanic
14385;B00006FDAU;DVD;3560;55;4.0;Exodus
14389;B00006FDAX;DVD;2162;44;4.5;The Russians Are Coming, the Russians Are Coming
14390;B00006FDAY;DVD;4038;23;4.0;The World of Henry Orient
14414;B000053UIE;DVD;3227;25;4.0;...And Justice For All
14435;0792158369;Video;4239;17;4.5;Adventures of Young Indiana Jones, Chapter 12 - Attack of the Hawkmen
14530;6305252572;DVD;2081;29;4.5;48 HRS
14777;B00000083U;Music;1570;6;5.0;Musical Evenings With The Captain
14860;1585747521;Music;75;452;4.5;Brushfire Fairytales
14953;B000002MIY;Music;4039;46;4.5;Kamakiriad
14989;0465016901;Book;1183;50;4.5;The Drama of the Gifted Child: The Search for the True Self
15112;6303212255;Video;885;9;4.0;Spencer's Mountain
15113;1561277681;Video;1361;1;5.0;Ford Mustang
15178;0465016154;Book;2205;108;4.5;The Mystery of Capital: Why Capitalism Triumphs in the West and Fails Everywhere Else
15356;6303953425;Video;713;633;4.5;Pulp Fiction
15397;B00005LDDD;DVD;3294;116;3.0;15 Minutes (Infinifilm Edition)
15532;0671023373;Book;257;194;4.5;Man's Search For Meaning
15582;B00007KK7V;Music;2256;253;4.0;100th Window
15585;B00008J2EB;DVD;3887;38;4.5;Mad About You - The Complete Second Season
15588;6304132654;Video;2761;9;4.5;Sesame Street - Monster Hits!
15638;B000002MM1;Music;3301;54;4.5;My Life in the Bush of Ghosts
15835;B000002MMG;Music;3936;85;4.5;They're All Gonna Laugh at You
15850;B000096IAI;DVD;3444;51;4.5;The Rescuers
15969;6305182051;DVD;1904;68;4.0;The First Wives Club
16012;0226467716;Book;1940;37;4.0;Moral Politics : How Liberals and Conservatives Think
16173;6303954294;Video;4121;43;4.5;War of the Buttons
16309;0140275010;Book;2980;78;4.5;Cod: A Biography of the Fish That Changed the World
16341;6302919789;Video;3772;17;4.5;The Wannsee Conference
16633;0316353000;Book;1767;54;4.5;Natural Capitalism: Creating the Next Industrial Revolution
16648;0451166892;Book;3049;610;4.5;The Pillars of the Earth
16835;6305198152;Video;4804;12;4.5;Project Grizzly
16921;B0000067L9;Music;4394;7;4.0;I Will Survive: The Anthology
16927;B0000067L1;Music;3774;24;4.5;Fresh Cream
16931;B0000067L2;Music;1955;79;4.5;Disraeli Gears
16945;B00000JMCL;Music;2501;194;4.0;Forget About It
17002;0762102276;Book;4566;34;5.0;Woodwork with Router (Reader's Digest Woodworking)
17019;0792164962;DVD;878;59;3.5;The Firm
17200;B000002MX7;Music;1048;44;5.0;Epiphany: The Best of Chaka Khan, Vol. 1 [1996]
17311;6304159242;Video;4027;1;4.0;Getting Started on Congas 1&2 Drums
17324;B00006IM9Q;Music;1001;33;5.0;Blondie - Greatest Hits
17346;0425121631;Book;1881;75;4.0;Rules of Prey
17351;B00005JL7Q;DVD;3890;231;4.5;About a Boy (Widescreen Edition)
17353;0792844882;DVD;2923;225;4.0;Showgirls
17361;0679720200;Book;538;419;4.0;The Stranger (Vintage International)
17396;B00005JL72;DVD;1460;49;4.5;Boomerang
17401;B00005JL78;DVD;1906;611;4.0;Minority Report (Widescreen Edition)
17428;6305812012;Video;672;69;4.5;Jean De Florette
17440;B00005ICEH;Video;4575;6;4.5;Kipper - Tiger Tales
17581;0195132653;Book;2731;15;4.5;Law 101: Everything You Need to Know About the American Legal System
17583;6301599977;Video;3624;156;4.5;Field of Dreams
17673;6300215598;Video;893;51;4.5;Funny Face
17695;B000001F3C;Music;1585;133;4.5;War
17780;6305428514;DVD;1972;73;4.0;The Rocketeer
17814;068483183X;Book;2134;48;4.0;TOUCHED WITH FIRE: Manic Depressive Illness and the Artistic Temperament
17829;B00006AFFK;Music;990;72;4.5;Imagine
17968;0812504798;Book;2430;273;3.5;The Red Badge of Courage (Tor Classics)
18145;6305657939;Video;1055;287;4.0;The Thomas Crown Affair
18173;0071381392;Book;239;355;4.5;The No-Cry Sleep Solution: Gentle Ways to Help Your Baby Sleep Through the Night
18212;B000006NPY;Music;1739;597;4.0;Adore
18231;B000085EFC;DVD;2076;64;4.0;Pilates Complete for Everyone
18232;B000085EFE;DVD;4891;46;4.5;The Awful Truth
18234;B000085EFG;DVD;2666;78;5.0;Wind
18237;B00005JKHP;DVD;2762;359;3.5;Star Trek - The Motion Picture (The Director's Edition)
